"filename", "language", "JSON", "Java", "comment", "blank", "total"
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case1.3\correct\provenanceInfo.json", "JSON", 8907, 0, 0, 0, 8907
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo1.1.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo1.2.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo1.3.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo2.1.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo2.2.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo2.3.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo3.1.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\PeerInfo4.1.json", "JSON", -1174, 0, 0, 0, -1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\bgp\PeerInfo1.1.json", "JSON", 1174, 0, 0, 0, 1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\bgp\PeerInfo1.2.json", "JSON", 1174, 0, 0, 0, 1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\bgp\PeerInfo1.3.json", "JSON", 1174, 0, 0, 0, 1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\bgp\PeerInfo2.1.json", "JSON", 1174, 0, 0, 0, 1174
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\peerInfo\bgp\PeerInfo2.2.json", "JSON", 1174, 0, 0, 0, 1174
